P_raw,DO_raw,interaction_shap_value
15.9,8.6,-0.4253683
62.3,8.1,0.58252585
20.2,9.8,-1.0535946
59.6,2.0,-0.1285612
49.4,2.8,0.40184844
61.4,3.1,-0.64922893
17.1,8.7,-0.5566684
17.1,2.2,0.09830904
18.4,9.36,-0.20810968
19.6,0.0,0.12125313
68.1,9.7,0.72767574
67.8,3.2,-0.39395654
58.9,5.6,-0.29470378
20.2,6.3,0.11270124
60.3,2.5,-0.62526625
24.1,10.47,-0.363796
54.3,3.2,0.002566114
58.3,8.0,0.6696458
17.0,9.6,-0.2671105
17.8,6.6,0.09427416
18.8,5.7,0.06875694
41.8,11.76,-3.0266457
60.8,3.3,-0.41224837
12.9,11.1,0.21430612
63.5,4.8,-0.4434219
41.0,2.8,0.7043073
52.8,4.2,-0.004514456
65.2,6.9,0.27809864
30.6,5.5,0.23254094
29.2,10.34,0.35826588
19.2,7.9,-0.8384131
18.5,9.2,-0.19970101
15.9,9.6,-0.18654045
16.8,8.44,-0.46361756
60.0,6.0,0.47608513
60.4,3.0,-0.37770218
48.9,5.2,0.026504457
21.8,6.0,0.13164508
17.9,1.18,0.18423057
17.8,7.1,-0.32989478
48.9,5.4,0.09588289
16.5,2.2,0.109690905
60.4,5.5,0.053049088
19.7,4.2,0.13741946
17.0,7.3,-0.43032336
60.2,0.0,-0.2720617
36.3,4.0,0.160941
61.9,6.7,-0.08846706
49.5,4.7,-0.0469824
37.5,8.3,-0.23978984
18.4,7.9,-0.43048787
27.3,9.07,-0.3736217
15.9,2.0,0.09902561
63.0,2.9,-0.3517506
30.7,9.36,-0.5781086
59.2,5.7,-0.14008039
19.2,5.7,0.12318215
19.4,4.7,0.15832162
16.5,9.6,-0.28145933
17.0,9.6,-0.24843791
21.8,8.3,-0.4085377
29.4,9.68,-0.57312775
20.3,2.9,0.20412606
39.1,8.4,-0.23620427
63.3,7.1,0.21801484
61.1,5.8,-0.09337282
49.4,6.3,-0.1625284
49.1,3.3,0.15347922
59.8,5.2,-0.3350041
57.9,8.0,0.45479798
38.5,3.5,0.52343404
16.2,9.5,-0.30392534
20.7,10.45,-0.24199009
12.8,11.2,0.21430588
16.4,9.8,-0.75538325
59.5,5.1,-0.17040217
49.4,3.5,0.24367589
19.2,7.6,-0.9098782
20.2,1.98,0.2251488
38.2,11.64,0.3611803
49.4,5.0,0.2377995
22.4,2.5,0.39288998
59.3,7.0,-0.28368455
20.4,1.82,0.2820096
16.1,10.5,0.82060957
16.0,5.7,-0.05526781
36.8,8.7,-0.2502293
49.6,4.4,-0.06220808
16.7,2.9,0.017728746
61.0,5.5,-0.015789926
68.0,6.2,0.03847328
38.7,5.5,0.15957743
19.6,0.87,0.1471523
38.0,7.9,-0.31314683
61.5,7.4,0.63616574
15.2,10.5,-0.0350132
19.5,0.0,0.16769981
58.6,5.8,-0.23436972
49.2,3.5,0.21835828
58.6,8.7,0.18778813
23.6,10.95,0.16327143
18.2,8.3,-0.49137706
60.0,6.8,0.056884274
19.9,7.88,-0.3511243
29.9,4.0,0.27369043
21.1,3.2,0.20496798
17.1,7.5,-0.4578846
20.3,9.29,-0.51284236
37.5,8.9,-0.32317114
59.9,5.0,-0.7008163
49.1,5.9,0.009009704
58.3,6.2,-0.14615528
49.3,6.3,0.1517834
16.7,6.6,0.0713141
62.8,7.4,0.02351904
24.4,8.83,-0.3241669
21.7,11.66,0.26780033
62.9,6.3,0.05940926
19.9,3.5,0.12752527
49.1,0.4,0.31901026
17.2,7.3,-0.3015114
20.7,6.6,0.11559576
49.4,0.6,0.22241113
55.1,2.1,-0.32740343
37.7,11.62,0.35072756
14.9,8.9,-0.4479112
60.4,6.2,0.27141237
17.8,5.6,0.14884627
36.3,2.9,0.1436162
20.2,10.74,-0.20452833
39.0,3.1,0.2318387
17.6,9.2,-0.33266073
16.6,8.91,-0.51987135
59.7,5.0,-0.28675982
49.0,5.3,0.14378403
