CODo_raw,DO_raw,interaction_shap_value
494.0,5.3,-0.994286
578.0,0.8,-0.82563114
140.0,9.36,-0.33221793
628.0,3.6,-1.712985
420.0,2.3,-0.23601234
452.0,4.2,-0.2752301
618.0,4.6,-1.3998342
211.0,0.9,-0.26406372
240.0,6.2,0.11773902
188.0,1.9,0.22151983
189.0,8.44,-0.54361475
520.6,7.0,0.0927012
193.0,7.7,-0.18312192
180.0,7.9,0.2964328
75.0,9.9,-0.98401284
210.0,5.9,0.7094233
128.0,10.64,-2.2057765
175.0,4.0,0.8629364
562.0,4.2,-1.0114025
75.0,10.4,-0.56971645
160.0,8.96,0.3014496
270.0,9.23,-1.1064119
232.0,6.0,-0.16524279
398.0,2.8,-0.40406024
215.0,3.9,0.01519531
169.0,8.76,0.21817183
426.0,5.8,-0.7457471
244.0,1.7,-0.884466
78.0,11.2,-1.1066866
76.0,11.2,-0.5534301
281.0,6.1,0.120064974
319.0,4.9,-0.3829948
205.0,5.5,0.69455934
198.0,8.77,-0.24243057
118.0,9.48,-0.23052958
123.0,11.5,-2.7831311
185.0,6.4,0.81295145
536.0,4.1,-1.0957053
230.0,8.7,-0.63778174
201.0,9.0,-0.5378206
233.0,3.9,-0.14481366
539.0,3.8,-0.85141045
185.0,4.9,0.82405233
159.0,11.13,-3.5354152
264.0,6.4,0.11610541
618.0,1.0,-2.0988598
412.0,5.4,-0.19798529
177.0,3.4,0.7933835
160.0,2.5,0.38819456
255.0,0.0,-0.5465113
257.0,7.5,-1.1572421
488.21,4.7,-0.46538436
153.0,9.25,0.03462559
186.0,7.4,-0.25805342
288.0,7.7,-1.1263316
212.0,6.3,0.4310245
266.0,9.75,-1.1234839
411.0,3.8,0.014960349
176.0,2.8,0.6278501
165.0,9.18,0.17583013
638.0,6.3,-0.5215135
205.0,6.7,0.339361
247.0,12.65,0.4848919
439.0,5.0,-0.75186014
195.0,1.4,0.318573
188.0,9.1,-0.3292085
239.0,2.0,-0.7558998
120.0,10.38,-2.630547
665.98,6.7,-1.9919784
196.0,6.6,0.4738909
398.0,5.5,-0.52829415
559.0,4.3,-0.9154567
89.0,10.4,-1.0496528
222.0,6.4,0.26115358
326.0,0.4,-0.6289189
490.97,1.5,0.25106668
204.0,4.2,0.30844045
263.0,7.0,-0.66712546
247.0,0.8,-0.7361505
87.0,10.8,-0.6031563
130.0,10.4,-2.8356223
423.0,4.4,-0.22482368
188.0,4.2,0.68326616
223.0,4.9,-0.14082956
492.0,8.8,1.4122546
332.0,4.8,-0.38299474
410.0,2.5,-0.39466512
498.0,4.6,-0.6376469
116.0,8.0,-0.6692774
474.0,2.7,0.5691985
155.0,4.9,0.59754527
278.0,4.1,-0.13990709
141.0,5.76,0.8835351
472.0,7.2,-0.43309247
233.0,3.5,-0.23090273
287.0,4.0,-0.26860482
245.0,8.3,-1.0406891
150.0,5.3,1.0271217
203.0,5.0,0.6461942
625.0,5.5,-2.8744264
75.0,10.8,-0.78342056
201.0,1.7,-0.07636404
468.0,5.3,-1.0525912
563.0,3.4,-0.99341714
214.0,7.1,-0.3361948
232.0,2.5,-0.71518064
198.0,6.8,0.5219196
134.0,7.2,-0.2093345
294.0,5.6,0.06845164
167.0,11.06,-3.569254
474.0,4.7,-0.09576458
544.02,3.8,-0.88491344
169.0,9.26,-0.5481714
189.0,5.8,0.72412395
220.0,8.0,-0.83464324
182.0,8.25,-0.47794235
587.0,3.0,-1.371637
80.0,10.7,-1.4478943
178.0,6.4,0.85357296
175.0,8.65,-0.32144272
223.0,8.71,-0.43350965
195.0,6.4,0.61367965
581.0,5.5,-2.3290899
655.0,4.5,-0.93570817
467.0,5.9,-0.550834
160.0,9.03,-0.39014524
