CODo_raw,COD2i_raw,interaction_shap_value
206.0,375.0,7.341857
613.0,1764.0,2.39353
195.0,512.0,2.4186845
687.0,3025.0,-4.409813
269.0,438.0,4.1549797
461.0,1668.0,0.85840225
132.0,456.0,3.7212763
202.0,530.0,3.399557
216.0,436.0,3.8650036
246.0,398.0,5.2778482
251.0,312.0,7.1829815
219.0,482.0,3.1873636
255.0,390.0,5.747608
144.0,325.0,6.9367113
198.0,339.0,7.7728868
204.0,267.0,7.7189493
80.0,511.0,2.638256
632.9,1768.0,1.4581089
476.0,988.0,-0.08765602
534.0,1685.0,0.41773224
311.0,466.0,6.058955
488.9,1997.0,1.8475418
530.0,2155.0,-0.76768875
698.0,1680.0,2.8786144
494.0,3158.0,1.637167
72.0,435.0,2.9658089
589.0,3265.0,-1.1670303
539.0,3521.0,1.1626949
170.0,325.0,5.4646187
206.0,511.0,2.7395115
506.0,2611.0,0.18986702
168.0,482.0,3.0177054
105.0,521.0,3.505538
240.0,1142.0,-0.6976571
487.52,1903.0,1.487587
190.0,840.0,3.007948
348.0,469.0,4.315173
166.0,213.5,5.4623976
150.0,458.0,3.4449458
245.0,402.0,5.2056894
221.0,480.0,3.9393783
304.0,175.0,7.3941536
202.0,588.0,3.0437536
251.0,313.0,7.451084
502.0,2684.0,0.96528816
195.0,525.0,2.9494324
120.0,550.0,3.4971352
185.0,1156.0,-0.98315334
180.0,360.0,5.212513
498.0,2870.0,1.8129597
155.0,405.0,7.2578135
519.91,1887.0,-1.1316967
210.0,484.0,3.0885115
179.0,380.0,7.2922344
590.0,2846.0,0.008686066
622.0,1985.0,1.507782
156.0,412.0,4.4372396
687.0,1542.0,6.6881275
303.0,675.0,2.7522602
254.0,424.0,7.4754844
253.0,443.0,4.234688
582.0,3542.0,-3.0523129
122.0,613.0,2.8321447
66.0,596.0,2.6466894
532.0,2230.0,0.3431015
157.0,426.0,7.2512045
485.46,2711.0,2.0610123
235.0,564.0,3.7876244
543.0,1227.0,0.3462851
681.0,3032.0,-2.38793
230.0,438.0,3.8573189
492.35,2855.0,2.275528
221.0,510.0,3.9181943
250.0,238.0,7.739629
503.0,1980.0,-0.6304207
222.0,420.0,7.512396
202.0,584.0,3.5990868
148.0,331.0,5.3838534
125.0,524.0,3.5265226
583.0,3621.0,-2.1408997
551.0,3266.0,0.64561653
280.0,602.0,3.9060202
547.47,2506.0,0.8263912
512.0,1863.0,-1.3845749
211.0,382.0,7.3143067
529.0,2221.0,-0.8909817
226.0,476.0,3.8340874
256.0,175.0,7.5750723
154.0,517.0,2.970234
487.0,1748.0,0.94859695
570.0,2896.0,1.05163
627.0,1643.0,2.666092
387.0,1369.0,0.47696114
387.0,1398.0,0.30526924
251.0,1425.0,-1.1089897
580.0,1600.0,1.7957172
174.0,324.0,7.6723948
523.0,1937.0,-1.043211
296.0,1350.0,-1.8496943
199.0,489.0,2.3891268
242.0,360.0,4.3289223
213.0,473.0,3.2675729
166.0,480.0,2.6061
468.0,1360.0,0.10624695
527.0,1667.0,-0.47180557
410.0,1454.0,-0.12805748
508.0,2799.0,-0.010387421
125.0,524.0,3.5069141
218.0,326.0,4.642728
259.0,531.0,3.168713
