COD2i_raw,DO_raw,interaction_shap_value
340.0,9.6,0.2296997
476.0,6.6,0.2998103
2316.0,2.8,0.80467796
362.0,5.3,0.20917642
280.0,3.3,0.20702517
375.0,5.8,0.13363409
391.0,6.0,0.18766844
1347.0,3.1,0.32418972
550.0,3.9,0.26861078
515.0,6.0,0.30808914
2675.0,4.2,-0.3867251
2103.0,6.8,-0.5494459
1275.0,3.3,0.30975562
427.0,6.9,0.3365116
361.0,9.3,0.22386348
2541.0,3.6,-0.24015015
3215.0,7.6,-1.017375
2506.0,5.7,-0.6417116
524.0,10.9,-0.815464
1581.0,3.5,-0.25258392
350.0,9.01,0.38527453
1666.0,3.1,-0.6419424
475.0,5.9,0.24704409
480.0,7.9,0.3846619
1833.0,5.3,-0.6325275
633.0,8.24,0.358428
348.0,7.5,0.37149656
422.0,5.2,0.3412191
2877.0,5.3,-0.61928344
1624.0,3.4,-0.43209276
499.0,8.72,0.2784496
360.0,10.3,-0.4694786
447.0,7.0,0.2600255
1953.0,4.6,-0.11796594
584.0,8.1,0.41493392
357.0,5.5,0.3489809
1465.0,7.2,-0.3532219
496.0,7.4,0.39931703
510.0,6.5,0.33947974
402.0,0.6,-0.36832952
350.0,0.5,-0.4603169
422.0,2.5,-0.17064649
380.0,9.25,0.13841712
420.0,4.7,0.27010858
3508.0,2.9,0.32722223
332.0,6.5,0.009785056
410.0,2.4,-0.4574324
519.0,6.21,0.24668968
2869.0,4.6,-0.4745035
782.0,5.1,0.34709954
395.0,2.9,0.024117291
472.0,8.9,0.29518485
348.0,9.2,0.2057994
456.0,10.24,-0.6277814
3890.0,8.0,-1.3687022
346.0,8.6,0.33421016
242.0,3.7,0.091632426
1499.0,4.2,-0.5273545
495.0,8.57,0.38093126
387.0,5.1,0.16515028
480.0,11.06,-0.59137344
420.0,10.8,-0.48426533
342.0,2.4,-0.17064667
395.0,4.4,0.1898343
638.0,8.87,0.30872184
2841.0,6.2,-0.50975263
347.0,8.3,0.24393928
431.0,7.8,0.13592374
531.0,6.5,0.33763057
560.0,7.9,0.4116428
1664.0,2.2,0.6927334
360.0,8.4,0.23454201
410.0,1.9,-0.14775789
280.0,8.5,0.35718286
1599.0,1.0,0.23398829
412.0,11.1,-0.43682456
357.0,8.8,0.24393928
372.0,7.6,0.35805225
482.0,7.9,0.38137054
596.0,9.5,0.31114364
2126.0,6.3,-0.62963945
485.0,2.2,-0.43159056
515.0,2.7,-0.08712149
1657.0,0.0,0.43290102
536.0,7.5,0.3981986
1502.0,6.8,-0.19306639
2987.0,6.1,-0.46654332
402.0,5.2,0.22650784
602.0,6.3,0.3206944
2418.6,3.3,-0.18996596
433.0,7.8,0.3656603
420.0,11.54,-0.73021173
1423.0,6.2,-0.3681401
275.0,4.4,0.14646322
450.0,8.57,0.29521203
3305.0,5.7,-0.38725215
441.0,10.1,-0.51104903
2633.0,7.3,-1.1816502
326.0,10.19,-0.17450237
543.0,8.93,0.3252468
2652.0,8.0,-0.3228202
590.0,7.1,0.46841437
1630.0,5.3,-0.6250567
2369.0,4.9,-0.38774478
1353.0,0.8,0.037214756
