Date,CODMBR,resid,upper_threshold,lower_threshold,trend_aware_flag
2021/11/3,323,-30.82785896,28.02798048,-30.39822154,1
2021/11/4,356,5.339668103,28.02798048,-30.39822154,0
2021/11/5,378,1.76127676,26.43217664,-27.9223748,0
2021/11/6,362,-0.037398125,26.43217664,-27.9223748,0
2021/11/7,357,0.710288167,26.39811523,-27.88831339,0
2021/11/8,334,-35.52196177,24.11096162,-24.18575787,1
2021/11/9,351,-4.428298146,24.11096162,-24.18575787,0
2021/11/10,325,-12.73983623,24.11096162,-24.18575787,0
2021/11/11,352,7.083309963,24.11096162,-24.18575787,0
2021/11/12,345,-11.64492812,24.11096162,-24.18575787,0
2021/11/13,357,-1.185120529,24.11096162,-24.18575787,0
2021/11/14,345,-7.71116858,24.11096162,-24.18575787,0
2021/11/15,375.1,-0.745099078,23.40326066,-24.89345882,0
2021/11/16,365,-1.198848767,22.96323921,-25.33348027,0
2021/11/17,354,8.053072155,26.99213011,-29.38982764,0
2021/11/18,364,1.050640638,27.94300031,-31.29108535,0
2021/11/19,375,2.47361834,31.22446366,-34.5725487,0
2021/11/20,384,-1.674042516,31.81301019,-35.16109522,0
2021/11/21,378,10.10297067,32.28820394,-34.68590147,0
2021/11/22,376,0.07071361,32.28820394,-34.68590147,0
2021/11/23,387,6.881560761,32.30193218,-34.67217324,0
2021/11/24,354,-2.668304379,32.74195363,-34.23215179,0
2021/11/25,365,-11.37418168,32.74195363,-34.23215179,0
2021/11/26,354,-40.38818651,32.53873343,-34.43537198,1
2021/11/27,355,-42.73918064,33.55776632,-33.4163391,1
2021/11/28,324,-52.41405237,33.55776632,-33.4163391,1
2021/11/29,378,-7.867921206,33.55776632,-33.4163391,0
2021/11/30,351,-54.59785191,33.55776632,-33.4163391,1
2021/12/1,499,110.8602823,36.15332595,-30.82077947,1
2021/12/2,478,51.21863986,35.62176918,-30.2892227,1
2021/12/3,493,40.42916674,35.66122581,-30.24976607,1
2021/12/4,469,9.348550549,34.92617262,-29.59362615,0
2021/12/5,426,-12.50267368,32.32443337,-26.9918869,0
2021/12/6,440,-0.948319276,32.20009448,-26.78863473,0
2021/12/7,466,2.666273238,32.20009448,-26.78863473,0
2021/12/8,454,8.040679587,32.20009448,-26.78863473,0
2021/12/9,505,9.810614293,31.65939523,-26.24793549,0
2021/12/10,525,2.705729871,31.65939523,-26.24793549,0
2021/12/11,510,3.511357324,31.65939523,-26.24793549,0
2021/12/12,486,8.794387444,31.6199386,-26.28739212,0
2021/12/13,475,4.433110357,28.11118007,-29.79615065,0
2021/12/14,484,-5.689138345,28.00534608,-29.90198463,0
2021/12/15,460,-8.758848779,28.00534608,-29.90198463,0
2021/12/16,520,5.505549478,28.16237564,-29.84734623,0
2021/12/17,516,-0.842485291,32.16063784,-26.82809137,0
2021/12/18,507,-4.281238229,35.19843846,-29.78697872,0
2021/12/19,496,-1.339849767,39.17204368,-33.76058394,0
2021/12/20,485,-2.541525263,35.62382852,-37.30879911,0
2021/12/21,453,-62.5804154,36.32752082,-39.00722035,1
2021/12/22,441,-60.44855303,37.46383178,-42.54688231,1
2021/12/23,457,-81.26187826,38.86556539,-47.42804185,1
2021/12/24,460,-75.53394227,38.86556539,-47.42804185,1
2021/12/25,550,11.88415721,39.52376076,-48.08623722,0
2021/12/26,621,71.38582179,41.26347372,-46.34652425,1
2021/12/27,586,63.48819613,39.52376076,-48.08623722,1
2021/12/28,549,10.30077495,41.75225549,-50.31473195,0
2021/12/29,535,21.43558139,45.2687696,-51.47419076,0
2021/12/30,521,-9.87343254,45.32578813,-51.53120929,0
2021/12/31,505,-6.048272585,45.32578813,-51.53120929,0
2022/1/1,499,-13.73749127,47.17654792,-49.68044951,0
2022/1/2,485,-41.12155047,47.54347047,-49.31352696,0
2022/1/3,491,-0.115291824,48.31320689,-48.54379054,0
2022/1/4,503,-12.86687231,53.56184858,-50.10010033,0
2022/1/5,492,-1.251950793,53.5108505,-50.15109841,0
2022/1/6,512,-5.692833348,51.71568263,-51.94626628,0
2022/1/7,498,-0.885028245,50.94594621,-52.7160027,0
2022/1/8,509,-3.102710579,50.94594621,-52.7160027,0
2022/1/9,556,1.730874127,46.91752537,-48.68758186,0
2022/1/10,602,86.14476395,47.68726179,-47.91784544,1
2022/1/11,622,80.51083044,49.48242966,-46.12267757,1
2022/1/12,588,68.86416526,49.53342774,-46.07167948,1
2022/1/13,563,7.462943066,49.53342774,-46.07167948,0
2022/1/14,574,35.79115199,54.41230279,-39.48641666,0
2022/1/15,545,1.679876043,54.41230279,-39.48641666,0
2022/1/16,569,-5.972855681,54.41230279,-39.48641666,0
2022/1/17,541,-8.2384742,54.41230279,-39.48641666,0
2022/1/18,580,16.21595639,54.41230279,-39.48641666,0
2022/1/19,601,67.21506898,54.41230279,-39.48641666,1
2022/1/20,586,17.92302288,52.17694134,-37.2510552,0
2022/1/21,611,63.40968984,47.89350461,-41.53449193,1
2022/1/22,577,31.70854675,38.01608518,-34.65633309,0
2022/1/23,564,0.460408386,38.01608518,-34.65633309,0
2022/1/24,556,16.95813808,34.45292933,-31.09317724,0
2022/1/25,536,-3.726709521,34.45292933,-31.09317724,0
2022/1/26,499,-1.029291099,35.61195495,-29.50214446,0
2022/1/27,521,-10.96206816,35.73655605,-29.37754336,0
2022/1/28,515,-0.830137348,32.29109751,-25.93208482,0
2022/1/29,502,-3.957773053,32.16649641,-26.05668592,0
2022/1/30,512,-5.64803558,28.27229958,-27.3514828,0
2022/1/31,503,3.179506344,24.77891068,-25.93681186,0
2022/2/1,490,-0.578950591,23.47028888,-24.62819006,0
2022/2/2,472,3.054905245,23.21910212,-24.87937682,0
2022/2/3,498,8.169700132,23.01994837,-25.07853057,0
2022/2/4,485,3.572177936,22.33052427,-25.76795467,0
2022/2/5,477,5.670303049,23.01994837,-25.07853057,0
2022/2/6,485,8.792282473,23.21910212,-24.87937682,0
2022/2/7,451,-5.365521885,23.47028888,-24.62819006,0
2022/2/8,421,-18.69412919,25.05085526,-24.88012765,0
2022/2/9,419,-7.149271029,25.18915858,-24.74182433,0
2022/2/10,429,-3.872425204,25.5815284,-25.13419414,0
2022/2/11,431,1.582096036,26.16911606,-25.99838844,0
2022/2/12,424,-2.921599282,29.47335984,-29.30263222,0
2022/2/13,428,-8.002624905,29.57213571,-29.4014081,0
2022/2/14,419,-1.718715202,27.7680567,-31.20548711,0
2022/2/15,412,5.654394291,26.56517262,-32.40837119,0
2022/2/16,410,7.576754936,25.6143467,-33.35919711,0
2022/2/17,402,0.223667128,26.73470551,-34.47955592,0
2022/2/18,399,0.085363806,28.80631724,-34.6495158,0
2022/2/19,406,11.74903487,33.31450841,-36.75193882,0
2022/2/20,359,-41.76625916,33.31450841,-36.75193882,1
2022/2/21,346,-38.60990427,37.52396599,-37.35323838,1
2022/2/22,355,-16.07205662,37.52396599,-37.35323838,0
2022/2/23,364,1.018433625,37.52396599,-37.35323838,0
2022/2/24,340,-16.43474393,37.52396599,-37.35323838,0
2022/2/25,347,-9.609600153,37.52396599,-37.35323838,0
2022/2/26,350,-8.353773909,37.52396599,-37.35323838,0
2022/2/27,387,15.9374248,37.52396599,-37.35323838,0
2022/2/28,375,9.712723252,33.10478588,-41.77241848,0
2022/3/1,367,3.382882132,33.10478588,-41.77241848,0
2022/3/2,351,-4.994791688,33.10478588,-41.77241848,0
2022/3/3,361,10.73357006,30.44425347,-39.11188607,0
2022/3/4,354,2.315263493,34.1167774,-32.07991015,0
2022/3/5,345,-5.691437361,33.08487206,-30.91660014,0
2022/3/6,353,-8.595407722,31.87287413,-29.70460221,0
2022/3/7,345,-11.31087162,30.45687567,-28.28860375,0
2022/3/8,366,7.298843234,30.45687567,-28.28860375,0
2022/3/9,352,2.28705473,30.45687567,-28.28860375,0
2022/3/10,341,-4.333816298,28.48334531,-27.3967235,0
2022/3/11,351,1.084135961,26.2420138,-25.35596622,0
2022/3/12,364,16.86003705,17.30303186,-23.18960937,0
2022/3/13,349,-6.888909408,20.6893444,-19.80329683,0
2022/3/14,353,3.358752207,20.6893444,-19.80329683,0
2022/3/15,360,7.81459847,19.1470524,-18.26100482,0
2022/3/16,346,-3.025126587,19.1470524,-18.26100482,0
2022/3/17,339,0.543310905,19.24733952,-18.16071771,0
2022/3/18,325,-22.98181828,19.24733952,-18.16071771,1
2022/3/19,334,-8.102608471,19.1470524,-18.26100482,0
2022/3/20,351,0.443023786,17.12000524,-20.28805198,0
2022/3/21,342,-2.943288757,17.12000524,-20.28805198,0
2022/3/22,338,-4.046936797,17.12000524,-20.28805198,0
2022/3/23,356,0.858647027,17.12000524,-20.28805198,0
2022/3/24,346,4.797192411,17.12000524,-20.28805198,0
2022/3/25,362,2.500697975,20.330474,-23.49852074,0
2022/3/26,351,-1.584023371,20.330474,-23.49852074,0
2022/3/27,374,10.48220935,20.5882317,-23.75627845,0
2022/3/28,354,-5.908844791,19.22896632,-25.11554383,0
2022/3/29,344,-6.089628536,20.5882317,-23.75627845,0
