NH3N2i_raw,DO_raw,interaction_shap_value
280.0,7.4,0.0017799195
213.0,6.5,0.0006048959
219.0,0.6,-0.009024901
294.0,0.5,-0.0059626624
237.0,2.5,-0.0045667123
223.0,9.25,0.0048377514
190.0,4.7,0.0023828726
390.0,2.9,-0.0076336823
145.0,6.5,0.00059847627
295.0,2.4,-0.0046603177
198.0,6.21,0.003143385
156.6,4.6,-0.0036223638
136.0,5.1,-0.0004073988
274.0,2.9,-0.0067311367
282.0,8.9,0.0025795973
189.0,9.2,-0.0019452721
189.0,10.24,-0.002418436
788.0,8.0,0.005056282
186.0,8.6,0.00049252994
89.0,3.7,0.0035937112
156.6,4.2,0.0015353076
208.0,8.57,-0.0035486533
213.0,5.1,0.0004846938
254.0,11.06,0.007651657
174.0,10.8,-0.0070868284
215.0,2.4,-0.0013846215
272.0,4.4,-0.0055406895
426.0,8.87,0.021109309
175.2,6.2,0.0055702785
263.0,8.3,0.0073396526
397.0,7.8,0.0052561983
248.0,6.5,0.0045218933
280.0,7.9,0.0019127391
145.0,2.2,0.014767557
198.0,8.4,0.0027912222
241.0,1.9,-0.0064374506
161.0,8.5,-0.0004375875
144.0,1.0,0.018625524
185.0,11.1,-0.008723177
240.0,8.8,0.0009905202
255.0,7.6,0.0020730589
265.0,7.9,0.0018578526
220.0,9.5,0.0038442463
221.3,6.3,0.006305285
385.0,2.2,-0.012949653
285.0,2.7,-0.0069453083
165.0,0.0,-0.00035162643
265.0,7.5,0.0019006301
142.0,6.8,-0.0023596531
189.2,6.1,0.006375296
165.0,5.2,0.0018975749
271.0,6.3,0.0019338988
187.3,3.3,-0.0057325177
176.0,7.8,0.0041387305
175.0,11.54,-0.008127019
141.0,6.2,-0.0009831501
104.0,4.4,0.0012039822
165.0,8.57,0.0036562607
188.3,5.7,0.006390879
194.0,10.1,-0.0014880598
178.3,7.3,0.0077258777
159.0,10.19,-0.008486681
192.0,8.93,0.0024512187
177.6,8.0,0.00773534
312.0,7.1,0.004365091
154.2,5.3,0.0029080547
189.6,4.9,0.0026571532
361.0,0.8,-0.0069386214
141.0,9.4,-0.011334427
248.0,8.6,0.00047337823
183.0,8.1,0.004643034
288.0,9.8,0.009901568
97.0,2.0,0.0040746257
145.2,2.8,0.0003715139
195.7,3.1,-0.007164415
271.0,8.7,0.0027180286
220.0,2.2,-0.0041136853
204.0,9.36,0.004413493
340.0,0.0,-0.0030692108
156.0,9.7,-0.0072384365
164.0,3.2,-4.2993575e-05
124.0,5.6,-0.00033918116
249.0,6.3,0.004700031
152.0,2.5,0.0029170718
187.0,10.47,-0.011178091
145.0,3.2,0.0030664504
124.0,8.0,-0.006618799
281.0,9.6,0.015127294
225.0,6.6,0.0005925456
298.0,5.7,0.004530875
168.0,11.76,-0.008099496
245.0,3.3,-0.008759251
170.0,11.1,-0.007108938
241.0,4.8,-0.002895026
126.4,2.8,0.004333699
135.6,4.2,0.0037043504
211.0,6.9,0.00073463796
189.5,5.5,0.004110704
210.0,10.34,0.0029421374
143.0,7.9,-0.00012236057
165.0,9.2,-0.0035712346
139.0,9.6,-0.011269584
215.0,8.44,-0.0034542438
105.1,6.0,-0.0015324508
175.0,3.0,-0.0058958232
148.2,5.2,-0.00037174486
289.0,6.0,0.004415159
247.0,1.18,-0.011242684
231.0,7.1,0.0019454956
122.4,5.4,-0.0073965946
312.0,2.2,-0.004838465
301.0,5.5,0.010113163
237.0,4.2,-0.0064343717
176.0,7.3,0.004134774
194.0,0.0,-0.0023250058
288.0,4.0,-0.005873861
169.0,6.7,0.0042263735
193.6,4.7,0.0026912987
205.0,8.3,-0.0035712318
282.0,7.9,0.0019127391
221.0,9.07,0.001303196
144.0,2.0,0.004615769
188.6,2.9,-0.007164415
225.0,9.36,0.0044931546
140.0,5.7,-0.001796939
237.0,5.7,0.004648517
256.0,4.7,-0.005548682
206.0,9.6,0.008889601
170.0,9.6,-0.007998005
270.0,8.3,0.006979597
193.0,9.68,-0.0013150945
312.0,2.9,-0.0041792225
156.0,8.4,-0.0015420103
110.0,7.1,0.00056902226
298.0,5.8,0.010144586
142.0,6.3,-0.0065672137
121.8,3.3,0.0030748881
131.0,5.2,0.00026952103
175.0,8.0,0.0075204456
167.2,3.5,-0.0020468328
200.0,9.5,-0.0023837239
278.0,10.45,0.0139280595
175.0,11.2,-0.0070868134
171.0,9.8,-0.007825203
93.0,5.1,0.0033240216
160.3,3.5,0.0031696297
402.0,7.6,0.0027755052
285.0,1.98,-0.00717465
143.0,11.64,-0.01243189
176.2,5.0,0.0038072215
131.5,2.5,0.0019294415
134.0,7.0,0.0020418987
235.0,1.82,-0.0046137795
250.0,10.5,0.011536457
246.0,5.7,0.0023482777
175.0,8.7,0.00023834128
166.2,4.4,0.003671538
212.0,2.9,-0.0011626426
314.0,5.5,0.010144588
195.0,6.2,0.0029163267
241.0,5.5,0.0050715813
257.0,0.87,-0.013984792
167.0,7.9,0.004174195
148.0,7.4,-0.002344925
171.0,10.5,-0.007086821
359.0,0.0,-0.0030692145
159.0,5.8,0.003137244
177.5,3.5,-0.005949104
158.0,8.7,-0.00073727546
221.0,10.95,0.007884588
230.0,8.3,0.0009650467
171.0,6.8,0.0042263716
170.0,7.88,0.004999332
151.0,4.0,0.0059390254
355.0,3.2,-0.0041668694
211.0,7.5,0.0021160115
177.0,9.29,-0.003999073
229.0,8.9,0.00040471554
98.2,5.0,-0.00027977908
141.4,5.9,-0.0026808279
166.0,6.2,0.007837446
155.0,6.3,-0.00494346
210.0,6.6,0.00063962676
312.0,7.4,0.00463666
264.0,8.83,0.0032964395
191.0,11.66,-0.0035435408
227.0,6.3,0.002414327
346.0,3.5,-0.0041792225
135.3,0.4,0.018401876
137.0,7.3,0.0017347075
294.0,6.6,0.004402809
178.5,0.6,-0.00827527
149.0,2.1,0.014615804
133.0,11.62,-0.0108115375
196.0,8.9,-0.0019147098
155.0,6.2,0.00033620957
280.0,5.6,0.0013830885
207.0,2.9,-0.0011477713
151.0,10.74,-0.0088709295
214.0,3.1,-0.00066004135
260.0,9.2,0.010271411
354.0,8.91,0.00828667
145.0,5.0,0.0009429469
148.2,5.3,-0.0015529706
140.0,0.8,0.02706924
351.0,9.36,0.0041434765
187.0,3.6,-0.005646009
135.0,2.3,0.0016842186
246.0,4.2,-0.00875926
176.3,4.6,0.0037991526
290.0,0.9,-0.011340734
182.0,6.2,0.004168572
284.0,1.9,-0.007727146
192.0,8.44,0.0025439085
154.3,7.0,-0.0038388963
287.0,7.7,0.0077306814
210.0,7.9,-0.0022535166
164.0,9.9,-0.008523233
192.0,5.9,0.00364167
165.0,10.64,-0.005212888
170.0,4.0,0.0031470228
117.8,4.2,0.006181773
182.0,10.4,-0.0087010935
210.0,8.96,0.0008994378
328.0,9.23,0.003479451
180.0,6.0,0.0044773584
126.0,2.8,-0.0016048953
360.0,3.9,-0.0043755304
557.0,8.76,0.00456178
245.0,5.8,0.005354464
156.0,1.7,0.012436633
214.0,11.2,0.0057288557
167.0,11.2,-0.0071089417
314.0,6.1,0.004967639
137.0,4.9,0.00094294565
166.0,5.5,0.004226368
301.0,8.77,0.009764932
168.0,9.48,-0.00793647
220.0,11.5,0.007482469
274.0,6.4,0.0038453238
200.8,4.1,-0.0033283196
210.0,8.7,-0.003169525
260.0,9.0,0.0111760795
332.0,3.9,-0.0041792225
135.5,3.8,0.0044613145
182.0,4.9,0.004689684
169.0,11.13,-0.0081361085
167.0,6.4,0.00422637
176.0,1.0,0.007034421
135.0,5.4,-0.0012161604
153.0,3.4,0.0049037505
160.0,2.5,0.004510723
317.0,0.0,-0.0030568615
854.0,7.5,0.0027755126
137.6,4.7,-0.0015519457
208.0,9.25,0.0045928806
251.0,7.4,0.0021292325
229.0,7.7,0.004222026
201.0,6.3,0.0035534743
289.0,9.75,0.004331626
179.3,3.8,0.00020813197
241.0,2.8,-0.0065139066
212.0,9.18,0.0048377514
