NH3NO_raw,DO_raw,interaction_shap_value
3.1,8.9,0.008691309
5.6,5.0,0.0070744352
4.2,5.9,-0.00086855236
5.5,6.2,0.006864582
3.4,6.3,-0.0020705312
4.2,6.6,0.0009134831
2.1,7.4,-0.006295979
2.5,8.83,-0.007217383
3.4,11.66,0.012929648
2.2,6.3,-0.0056213103
3.1,3.5,-0.0035186876
2.9,0.4,-0.00327304
2.3,7.3,-0.0059396597
3.5,6.6,-0.0053713396
3.6,0.6,-0.0016499832
8.5,2.1,-0.0009557642
3.3,11.62,0.012710653
4.8,8.9,-0.029831126
3.7,6.2,-0.0038239076
7.2,5.6,0.004331231
2.8,2.9,-0.0033831839
3.2,10.74,0.012094796
3.5,3.1,-0.0026070774
3.8,9.2,-0.007661313
5.1,8.91,-0.056126982
3.0,5.0,-0.001871041
2.4,5.3,-0.002435795
8.3,0.8,-0.0009343922
4.0,9.36,-0.008016348
7.3,3.6,-0.0035101473
2.1,2.3,-0.00026368722
4.5,4.2,0.0009874124
2.7,4.6,-0.0019621681
3.9,0.9,0.003187865
3.9,6.2,0.0011211801
7.1,1.9,0.0104949325
2.6,8.44,-0.0070598414
6.4,7.0,-0.003945611
8.2,7.7,0.0027587079
3.7,7.9,-0.0046586506
1.5,9.9,0.01846692
2.0,5.9,-0.005777876
4.5,10.64,-0.008318186
3.2,4.0,-0.002360072
2.4,4.2,-0.0024179444
1.5,10.4,0.019306041
5.3,8.96,-0.057337508
6.5,9.23,-0.050313607
2.5,6.0,-0.0057882573
7.5,2.8,-0.0016006809
2.6,3.9,-0.0036325492
4.2,8.76,-0.00014366023
5.6,5.8,0.010590609
10.6,1.7,-0.04134019
1.9,11.2,0.018540941
1.5,11.2,0.018792406
5.3,6.1,0.01649198
4.6,4.9,0.0067088027
4.7,5.5,0.0048713395
5.1,8.77,0.020759959
5.3,9.48,-0.053211667
2.3,11.5,0.018540915
2.2,6.4,-0.006549778
5.3,4.1,0.007413363
2.0,8.7,-0.0075820973
3.5,9.0,0.006882515
3.9,3.9,0.0018455144
5.3,3.8,0.0068291575
1.8,4.9,-0.0033769803
2.1,11.13,0.019180015
4.4,6.4,-0.0007898044
7.6,1.0,-0.0011799559
3.7,5.4,-0.00072755676
1.5,3.4,-0.00306095
