P_raw,DO_raw,interaction_shap_value
17.1,2.5,-0.003916692
20.8,0.0,-0.0041489825
18.4,7.5,0.0025120676
58.8,4.7,-0.0001392141
18.4,9.25,0.0048359856
18.7,7.4,0.0031725988
20.2,7.7,0.0019237762
38.1,6.3,0.0052314242
17.5,9.75,0.0066536143
49.4,3.8,0.0025936672
19.0,2.8,-0.004457103
19.0,9.18,0.0020015389
49.4,6.3,-0.00542609
21.5,6.7,0.007594317
38.5,12.65,-0.0043728873
60.4,5.0,-0.0034458435
19.2,1.4,-0.0026649237
17.3,9.1,0.005391706
20.0,2.0,-0.0045578517
34.7,10.38,-0.004526198
48.9,6.7,0.0136373695
19.0,6.6,0.0040732203
38.5,5.5,0.019303903
49.3,4.3,0.0023525502
15.8,10.4,0.012471581
19.8,6.4,0.0040584207
59.6,0.4,-0.0070702955
63.3,1.5,-0.008001752
20.7,4.2,-0.0023807157
38.2,7.0,0.0064610597
19.1,0.8,-0.0031785592
11.5,10.8,0.012481105
17.7,10.4,0.010310959
61.2,4.4,-0.0048984666
17.0,4.2,-0.0029914826
65.2,4.9,-6.115716e-05
58.6,8.8,0.0033102725
59.9,4.8,-0.0044091805
56.7,2.5,0.0011621248
49.1,4.6,0.002172473
62.9,8.0,0.01656212
38.5,2.7,-0.029092394
16.0,4.9,-0.002728833
18.7,4.1,-0.0036594346
20.5,5.76,0.005403308
68.2,7.2,-9.9975616e-05
16.0,3.5,-0.0049614143
58.9,4.0,0.0021279054
35.4,8.3,0.004851506
13.5,5.3,0.0046073003
16.1,5.0,-0.0019638399
49.5,5.5,-0.0018505603
