NH3NO_raw,NH3N2i_raw,interaction_shap_value
1.6,174.0,-0.0029791277
2.8,215.0,-0.0011829841
7.2,272.0,-0.019116484
7.6,426.0,0.02430897
3.0,175.2,0.0028868807
3.4,263.0,0.020121418
11.3,397.0,-0.0073232967
3.9,248.0,0.0023514144
5.0,280.0,-0.005292304
7.8,145.0,-0.009583237
3.5,198.0,-0.0056785634
2.9,241.0,0.015994929
1.6,161.0,-0.0016327053
4.21,144.0,0.0015129745
1.7,185.0,0.0021412391
3.2,240.0,0.013557248
4.4,255.0,-0.00780081
4.8,265.0,-0.0096527
2.0,220.0,0.008294227
3.2,221.3,0.0059716944
7.8,385.0,0.01023297
3.5,285.0,0.01922853
7.6,165.0,-0.008796682
4.3,265.0,-0.009504318
3.5,142.0,0.0021903384
3.9,189.2,-0.0054839365
2.2,165.0,-0.0013642553
2.4,271.0,0.024710316
2.8,187.3,-0.003806792
3.5,176.0,0.0032657394
2.2,175.0,-0.0028050803
2.1,141.0,-0.0075733317
2.3,104.0,0.00033636577
4.3,165.0,0.005796697
2.5,188.3,-0.0056895986
1.6,194.0,-0.0065533314
2.4,178.3,-0.0048812847
2.9,159.0,0.0022076275
5.3,192.0,-0.0010695234
2.9,177.6,-0.0051350817
3.5,312.0,0.017558515
6.3,154.2,0.0037592445
6.4,189.6,-0.0015758313
3.3,361.0,0.016407374
5.7,141.0,0.0040359097
4.6,248.0,-0.007996723
5.1,183.0,-0.006294543
4.3,288.0,-0.009635165
5.6,97.0,0.005411581
10.6,145.2,-0.048289873
3.4,195.7,-0.009558178
3.1,271.0,0.019373031
2.5,220.0,-0.00021312712
3.8,204.0,-0.0033308761
3.5,340.0,0.01880074
4.4,156.0,0.0003235871
7.9,164.0,-0.015269908
3.4,124.0,0.008319044
3.9,249.0,0.0016155243
3.6,152.0,0.0043571456
6.3,187.0,-0.009524543
7.51,145.0,-0.020355975
6.3,124.0,0.017297173
7.2,281.0,-0.013924219
2.4,225.0,0.002718039
5.3,298.0,-0.0068853274
2.1,168.0,-0.0045017917
4.7,245.0,-0.011881426
1.6,170.0,-0.0027386658
2.6,241.0,0.015471412
5.4,126.4,0.0042959526
3.8,135.6,0.0007582009
3.7,211.0,-0.0058692913
7.2,189.5,0.009729246
3.4,210.0,-0.005813745
4.1,143.0,0.004942544
3.2,165.0,0.004551934
1.9,139.0,-0.008328803
2.6,215.0,-0.0010009944
5.5,105.1,0.010599781
7.3,175.0,0.008624637
2.8,148.2,0.0016611405
3.5,289.0,0.019387368
5.1,247.0,-0.0045289844
4.2,231.0,0.0008368194
7.8,122.4,-0.051962502
4.3,312.0,-0.009075973
5.3,301.0,-0.0155750215
3.8,237.0,0.013037261
5.4,176.0,-0.004391955
5.4,194.0,-0.0012973621
2.9,288.0,0.024604324
2.1,169.0,-0.0028882567
2.3,193.6,-0.010916125
1.4,205.0,-0.0035407534
4.1,282.0,0.008969042
2.6,221.0,-0.0014579548
2.6,144.0,0.00036155805
4.7,188.6,-0.002859884
4.1,225.0,-0.003572464
7.7,140.0,-0.06918985
3.1,237.0,0.0126305
4.2,256.0,0.0030494481
4.5,206.0,-0.0031605922
3.1,170.0,0.003726367
3.2,270.0,0.019509448
3.2,193.0,-0.0052775415
3.2,312.0,0.020299125
1.5,156.0,-0.001633551
2.7,110.0,0.00697906
7.3,298.0,-0.026196092
3.5,142.0,-0.0060237516
8.7,121.8,-0.059289027
2.0,131.0,-0.004826059
5.7,175.0,-0.013785768
2.6,167.2,-0.0029727723
5.9,200.0,0.0019430618
2.8,278.0,0.020833496
1.7,175.0,-0.0017221719
1.5,171.0,-0.0029791258
1.7,93.0,-0.0019269907
7.3,160.3,0.008814922
4.6,402.0,-0.00855729
4.6,285.0,-0.00880865
3.2,143.0,0.0037913043
5.9,176.2,0.0004055458
3.4,131.5,0.0052468423
1.9,134.0,-0.006318001
4.3,235.0,-0.007398449
2.4,250.0,0.020826295
4.6,246.0,-0.008024961
1.8,175.0,-0.004156783
2.2,166.2,-0.0056591183
3.2,212.0,-0.005698806
7.1,314.0,0.0009493232
4.4,195.0,-0.004677305
2.9,241.0,0.016123623
4.8,257.0,-0.007971659
2.1,167.0,-0.0051103123
3.4,148.0,0.0020089447
1.4,171.0,-0.0029791277
6.7,359.0,-0.013052553
7.4,159.0,-0.026001938
5.1,177.5,-0.0033000088
3.3,158.0,0.0040740073
2.2,221.0,0.008649836
3.0,230.0,0.0012087785
3.1,171.0,0.0027290192
2.3,170.0,-0.0027112449
7.1,151.0,0.012860883
3.6,355.0,0.015966862
8.8,211.0,0.042890634
2.2,177.0,-0.002711242
3.1,229.0,0.0007646531
5.6,98.2,0.009261233
4.2,141.4,0.0018729717
5.5,166.0,-0.002664769
3.4,155.0,-0.0047485596
4.2,210.0,-0.0054405592
2.1,312.0,0.033100024
2.5,264.0,0.020848004
3.4,191.0,-0.005459836
2.2,227.0,0.008702358
3.1,346.0,0.017686028
2.9,135.3,-0.008838102
2.3,137.0,-0.0075567365
3.5,294.0,0.019387368
3.6,178.5,-0.0059788665
8.5,149.0,-0.012224916
3.3,133.0,0.002170125
4.8,196.0,-0.0049283914
3.7,155.0,0.005621477
7.2,280.0,-0.016182877
2.8,207.0,-0.00013316807
3.2,151.0,0.0020586625
3.5,214.0,-0.0056576952
3.8,260.0,0.01995837
5.1,354.0,-0.0065655783
3.0,145.0,0.0038244077
2.4,148.2,-0.0021136627
8.3,140.0,-0.010401797
4.0,351.0,0.008999083
7.3,187.0,0.007888744
2.1,135.0,-0.008230231
4.5,246.0,-0.011383712
2.7,176.3,-0.004925603
3.9,290.0,0.008888096
3.9,182.0,0.004508217
7.1,284.0,-0.016382534
2.6,192.0,-0.0028911543
6.4,154.3,0.0061013745
8.2,287.0,0.018994033
3.7,210.0,-0.0059245056
1.5,164.0,-0.0006625168
2.0,192.0,-0.006468364
4.5,165.0,0.0051217563
3.2,170.0,0.0037274603
2.4,117.8,-0.0033443458
1.5,182.0,-0.0029791258
5.3,210.0,-0.0011583879
6.5,328.0,-0.026540194
2.5,180.0,-0.0009485185
7.5,126.0,-0.111188084
2.6,360.0,0.024050506
4.2,557.0,0.010495866
5.6,245.0,-0.0031034276
10.6,156.0,-0.03106716
1.9,214.0,0.0078113414
1.5,167.0,-0.004482046
5.3,314.0,-0.0059998855
4.6,137.0,0.0045135426
4.7,166.0,0.006834885
5.1,301.0,-0.005784113
5.3,168.0,-0.0041438267
2.3,220.0,0.008857848
2.2,274.0,0.03629017
5.3,200.8,-0.0018653218
2.0,210.0,0.0077057146
3.5,260.0,0.033769414
3.9,332.0,0.008094426
5.3,135.5,-2.2165477e-05
1.8,182.0,-0.0028843079
2.1,169.0,-0.0028050803
4.4,167.0,0.004072165
7.6,176.0,0.023247398
3.7,135.0,0.0006480217
1.5,153.0,-0.001860721
2.9,160.0,0.0034311507
4.6,317.0,-0.012704551
5.4,854.0,-0.00387761
3.5,137.6,0.002298858
3.4,208.0,-0.004212724
3.8,251.0,0.013039194
3.3,229.0,0.005485758
4.5,201.0,-0.004711264
6.6,289.0,-0.023811232
3.5,179.3,-0.0013187885
3.2,241.0,0.0135484245
5.0,212.0,-0.0013940195
4.2,178.2,-0.002953302
4.2,255.0,0.0016155317
4.3,183.0,0.0017393641
2.1,151.0,-0.01163742
3.5,234.0,0.013453294
3.5,174.0,0.0032171365
2.8,323.0,0.020828318
5.1,168.0,-0.0040783286
7.7,164.0,-0.05387655
3.4,293.0,0.018208448
5.2,156.0,0.003630179
6.3,156.3,-0.0055458923
8.5,285.0,0.01897497
2.1,243.0,0.025489422
8.6,97.0,-0.11820478
5.0,154.6,0.00058949087
4.6,266.0,-0.009587638
2.8,107.0,0.005907108
3.8,335.0,0.01518137
