Date,CODMBR,Diff1,Hampel,STL,Wavelet-strong
2021/10/1,359,1,0,0,0
2021/10/2,346,0,0,0,0
2021/10/3,355,0,0,1,0
2021/10/4,364,0,0,0,0
2021/10/5,340,0,0,0,0
2021/10/6,347,0,0,0,0
2021/10/7,350,0,0,0,0
2021/10/8,376,0,0,1,0
2021/10/9,387,0,0,1,0
2021/10/10,354,0,0,0,0
2021/10/11,365,0,0,0,0
2021/10/12,354,0,0,0,0
2021/10/13,355,0,0,0,0
2021/10/14,324,0,0,1,0
2021/10/15,378,0,0,0,0
2021/10/16,351,0,0,0,1
2021/10/17,499,1,1,1,0
2021/10/18,478,0,0,1,0
2021/10/19,493,0,1,1,0
2021/10/20,469,0,0,1,0
2021/10/21,426,0,0,1,0
2021/10/22,376,0,0,0,0
2021/10/23,387,0,0,1,0
2021/10/24,354,0,0,0,0
2021/10/25,365,0,0,0,0
2021/10/26,354,0,0,0,0
2021/10/27,355,0,0,0,0
2021/10/28,324,0,0,0,0
2021/10/29,378,0,0,0,0
2021/10/30,351,0,0,0,1
2021/10/31,499,1,1,1,0
2021/11/1,478,0,1,1,0
2021/11/2,493,0,1,1,1
2021/11/3,323,1,0,1,1
2021/11/4,356,0,0,0,0
2021/11/5,378,0,0,0,0
2021/11/6,362,0,0,0,0
2021/11/7,357,0,0,0,0
2021/11/8,334,0,0,1,0
2021/11/9,351,0,0,0,0
2021/11/10,325,0,0,0,0
2021/11/11,352,0,0,0,0
2021/11/12,345,0,0,0,0
2021/11/13,357,0,0,0,0
2021/11/14,345,0,0,0,0
2021/11/15,375.1,0,0,0,0
2021/11/16,365,0,0,0,0
2021/11/17,354,0,0,0,0
2021/11/18,364,0,0,0,0
2021/11/19,375,0,0,0,0
2021/11/20,384,0,0,0,0
2021/11/21,378,0,0,0,0
2021/11/22,376,0,0,0,0
2021/11/23,387,0,0,0,0
2021/11/24,354,0,0,0,0
2021/11/25,365,0,0,0,0
2021/11/26,354,0,0,1,0
2021/11/27,355,0,0,1,0
2021/11/28,324,0,0,1,0
2021/11/29,378,0,0,0,0
2021/11/30,351,0,0,1,1
2021/12/1,499,1,0,1,0
2021/12/2,478,0,0,1,0
