theoretical_q,sample_q
-0.785290158676129,-0.4861179604755848
-0.7826064244026065,-0.48594054261251535
-0.7799283149950214,-0.48072923289006037
-0.7772557877961597,-0.47887108843171866
-0.7745888005743156,-0.47687581145441404
-0.7719273115173331,-0.47321554064052207
-0.7692712792267514,-0.47089783788964695
-0.7666206627120488,-0.47019096649288067
-0.7639754213849889,-0.46962043220766053
-0.7613355150540632,-0.4688023978827178
-0.7587009039190268,-0.4667985116969988
-0.7560715485655314,-0.4630521297177189
-0.7534474099598454,-0.460461802392945
-0.7508284494436657,-0.45885196450611493
-0.7482146287290159,-0.45838114527100016
-0.7456059098932322,-0.4550952875520841
-0.743002255374031,-0.45492936072325907
-0.7404036279646599,-0.45227848489675454
-0.7378099908091301,-0.45004209148447033
-0.7352213073975271,-0.44688596209404496
-0.7326375415613978,-0.44591212410442593
-0.7300586574692155,-0.4411997905540816
-0.7274846196219191,-0.43974683293507727
-0.7249153928485236,-0.4385606185787261
-0.7223509423018039,-0.43804864757891626
-0.7197912334540473,-0.4323673166729554
-0.717236232092876,-0.43125367277589727
-0.7146859043171362,-0.4297736920249903
-0.7121402165328534,-0.42544588066537925
-0.7095991354492531,-0.4250216019304301
-0.7070626280748431,-0.4219318278302686
-0.704530661713561,-0.4216105166837181
-0.7020032039609808,-0.42122112378012916
-0.6994802227005793,-0.42045065740225546
-0.6969616861000628,-0.41856451784925963
-0.6944475626077509,-0.414053500633359
-0.6919378209490148,-0.41268538862719784
-0.6894324301227746,-0.4121405973702837
-0.6869313593980488,-0.4094634649016846
-0.6844345783105582,-0.4089754963283309
-0.6819420566593807,-0.40836461671417507
-0.6794537645036597,-0.405822665856555
-0.6769696721593611,-0.4045817986258313
-0.6744897501960817,-0.4039444825040293
-0.6720139694339048,-0.40382825238677955
-0.6695423009403038,-0.40374658817163395
-0.6670747160270921,-0.4024787441817639
-0.6646111862474218,-0.4009637483794089
-0.6621516833928238,-0.40012444360936494
-0.6596961794902939,-0.39897253651350856
-0.657244646799424,-0.3985616828261203
-0.6547970578095721,-0.3975527243996567
-0.6523533852370789,-0.397190702439429
-0.6499136020225228,-0.39677754231950185
-0.6474776813280145,-0.3965394289415349
-0.6450455965345347,-0.3963077212690301
-0.6426173212393083,-0.39559180685000644
-0.6401928292532165,-0.395143754158985
-0.6377720945982498,-0.39298107220903294
-0.6353550915049933,-0.3918304047211092
-0.6329417944101529,-0.391170146924333
-0.6305321779541142,-0.39087093041860105
-0.6281262169785374,-0.38876967989071737
-0.6257238865239874,-0.38868805933332384
-0.6233251618275962,-0.38729662245850416
-0.6209300183207599,-0.3866575113373152
-0.6185384316268678,-0.3853326191322
-0.616150377559064,-0.38390222886221564
-0.6137658321180397,-0.3838936005027002
-0.6113847714898584,-0.38039251617828984
-0.6090071720438085,-0.37801350790752625
-0.6066330103302896,-0.37726636278184156
-0.6042622630787257,-0.37526302752483975
-0.6018949071955069,-0.37411436312403995
-0.5995309197619633,-0.3735997080644474
-0.5971702780323617,-0.3730064067821051
-0.5948129594319342,-0.3712357629677838
-0.5924589415549317,-0.36932874671634364
-0.5901082021627039,-0.3688197734546804
-0.5877607191818065,-0.36770883790036907
-0.5854164707021339,-0.36567720274684384
-0.5830754349750756,-0.36494525099453834
-0.5807375904117009,-0.36396983513408154
-0.5784029155809638,-0.3610267168776109
-0.5760713892079353,-0.3606466673368969
-0.5737429901720584,-0.35752758871344553
-0.571417697505425,-0.35684882616457425
-0.569095490391078,-0.35538600322293173
-0.5667763481613343,-0.3552228691726507
-0.5644602502961299,-0.3546922284399744
-0.5621471764213887,-0.3544502296958193
-0.5598371063074097,-0.35303803334012757
-0.5575300198672783,-0.35253464666146517
-0.5552258971552967,-0.35209270040521196
-0.5529247183654341,-0.35048909047921994
-0.5506264638297992,-0.34666886186448365
-0.5483311140171305,-0.3462594367179062
-0.5460386495313071,-0.34572584749090185
-0.543749051109878,-0.34533703050502473
-0.5414622996226106,-0.34451985285236814
-0.5391783760700581,-0.34186411475537926
-0.5368972615821447,-0.33651881541803547
-0.5346189374167676,-0.33569805995567026
-0.53234338495842,-0.33461174060838955
-0.530070585716828,-0.3341263992190884
-0.527800521325606,-0.33203155131966156
-0.5255331735409297,-0.33034030513737406
-0.5232685242402246,-0.3283155390764142
-0.5210065554208718,-0.3275541665459466
-0.5187472491989285,-0.3270735244408148
-0.5164905878078654,-0.3268206671391095
-0.5142365535973206,-0.3225034516808951
-0.5119851290318662,-0.32122415386347586
-0.5097362966897926,-0.32102867023592535
-0.5074900392619064,-0.3174979824261774
-0.5052463395503433,-0.31448128570677875
-0.5030051804673951,-0.31400364534031067
-0.500766545034352,-0.3135693581815675
-0.498530416380357,-0.31195236652289227
-0.49629677774127634,-0.3103654485196307
-0.4940656124585819,-0.31014594709287546
-0.4918369039782469,-0.3066212016629263
-0.4896106358496569,-0.30447509368158393
-0.4873867917245305,-0.30438178038792596
-0.485165355355856,-0.30402167231517757
-0.4829463105968387,-0.3029282880250219
-0.4807296413998607,-0.3015362518362077
-0.4785153318154543,-0.301136168568664
-0.47630336599128614,-0.3008269632768048
-0.47409372817115314,-0.2959772811318478
-0.47188640269399146,-0.2949619235226659
-0.4696813739928952,-0.29316370500378297
-0.46747862659414835,-0.29272949180242797
-0.46527814511626636,-0.29246398961614445
-0.463079914269049,-0.2923785388815183
-0.460883918852645,-0.2900105243020864
-0.45869014375662703,-0.28926399156457056
-0.45649857395907567,-0.2891528187370548
-0.45430919452567675,-0.288269954133666
-0.45212199060882563,-0.2874227266170842
-0.4499369474467448,-0.2873815956060085
-0.4477540503626088,-0.2871771487048604
-0.44557328476367986,-0.285126477816272
-0.4433946361404542,-0.28429834745232685
-0.4412180900658164,-0.28398579761947323
-0.4390436321942034,-0.28257080322820305
-0.43687124826077905,-0.28139051160562123
-0.4347009240806159,-0.27988700216948836
-0.4325326455478874,-0.2797162954616702
-0.4303663986350686,-0.2796229486456857
-0.4282021693921446,-0.2793322103683014
