,pH2i,pHO,pHMBR
696,8.4,6.6,6.6
697,8.5,6.5,6.5
698,8.7,6.5,6.5
699,8.6,6.5,6.5
700,8.5,6.4,6.4
701,8.6,6.4,6.4
702,8.4,6.3,6.3
703,8.5,6.4,6.4
704,8.2,6.5,6.5
705,8.6,6.5,6.5
706,8.4,6.4,6.4
707,8.3,6.4,6.4
708,8.5,6.5,6.5
709,8.4,6.4,6.4
710,8.6,6.6,6.6
711,8.5,6.6,6.6
712,8.5,6.6,6.6
713,8.5,6.6,6.6
714,8.7,6.7,6.7
715,8.5,6.7,6.7
716,8.4,6.7,6.7
717,8.6,6.6,6.6
718,8.7,6.5,6.5
719,8.6,6.5,6.5
720,8.6,6.5,6.5
721,8.6,6.5,6.5
722,8.4,6.6,6.5
723,8.7,6.7,6.7
724,8.5,6.7,6.7
725,8.6,6.6,6.6
726,8.4,6.7,6.7
727,8.6,6.7,6.7
728,8.3,6.7,6.7
729,8.4,6.5,6.5
730,8.6,6.5,6.5
731,8.7,6.7,6.7
732,8.4,6.5,6.5
733,8.5,6.6,6.6
734,8.7,6.5,6.5
735,8.6,6.5,6.5
736,8.6,6.5,6.5
737,8.6,6.4,6.4
738,8.3,6.4,6.4
739,8.4,6.4,6.4
740,8.5,6.4,6.4
741,8.3,6.3,6.3
742,8.6,6.2,6.2
743,8.5,6.3,6.2
744,8.4,6.2,6.2
745,8.6,6.3,6.3
746,8.7,6.4,6.4
747,8.5,6.2,6.2
748,8.4,6.4,6.4
749,8.1,6.7,6.5
750,8.5,6.6,6.6
751,8.2,6.6,6.6
752,8.2,6.7,6.7
753,8.6,6.7,6.7
754,8.4,6.8,6.8
755,8.3,6.7,6.7
756,8.3,6.6,6.6
757,8.5,6.6,6.6
758,8.3,6.6,6.6
759,8.4,6.6,6.6
760,8.6,6.6,6.6
761,8.3,6.7,6.7
762,8.6,6.7,6.7
763,8.5,6.7,6.7
764,8.7,6.7,6.7
765,8.6,6.6,6.6
766,8.4,6.6,6.7
767,8.5,6.4,6.4
768,8.5,6.4,6.4
769,8.3,6.5,6.5
770,8.6,6.5,6.5
771,8.4,6.5,6.5
772,8.5,6.5,6.5
773,8.4,6.8,6.8
774,8.4,7,7
775,8.5,7,7
776,8.5,7,7
777,8.6,7,7
778,8.3,7,7
779,8.5,7,7
780,8.4,7,7
781,8.2,7,7
782,8.3,7,7
783,8.4,6.5,6.5
784,8.4,6.4,6.4
785,8.6,6.5,6.5
786,8.3,6.5,6.5
787,8.5,6.8,6.8
788,8.6,6.7,6.7
789,8.5,6.6,6.6
790,8.6,7.6,7.6
791,8.2,7.4,7.4
792,8.2,7.5,7.5
793,8.5,7.5,7.5
794,8.6,7.5,7.5
795,8.5,7.5,7.5
796,8.4,7.5,7.5
797,8.5,7.5,7.5
798,8.7,7.5,7.5
799,8.6,7.5,7.5
800,8.8,7.5,7.5
801,8.5,7.5,7.5
802,8.4,7.5,7.5
803,8.5,7.5,7.5
804,8.6,7.5,7.5
805,8.4,7.6,7.6
806,8.3,7.7,7.7
807,8.4,7.7,7.7
808,8.3,7.8,7.8
809,8.5,7.8,7.8
810,8.2,7.7,7.7
811,8.4,7.7,7.7
812,8.3,7.7,7.7
813,8.5,7.7,7.7
814,8.4,7.8,7.8
815,8.6,7.8,7.8
816,8.3,7.8,7.8
817,8.5,7.8,7.8
818,8.2,7.8,7.8
819,8.4,7.8,7.8
820,8.2,7.8,7.8
821,8.4,7.9,7.9
822,8.6,7.9,7.9
823,8.5,8,8
824,8.5,8,8
825,8.3,8,8
826,8.4,8,8
827,8.5,8,8
828,8.3,8,8
829,8.6,8,8
830,8.5,8,8
831,8.5,8,8
832,8.4,8.1,8.1
833,8.6,8.1,8.1
834,8.2,8.1,8.1
835,8.3,8.1,8.1
836,8.5,8.1,8.1
837,8.6,8.1,8.1
838,8.5,8.1,8.1
839,8.5,8.1,8.1
840,8.4,8.1,8.1
841,8.6,8.1,8.1
842,8.3,8.1,8.1
843,8.5,8.1,8.1
844,8.4,8.1,8.1
845,8.5,8.1,8.1
846,8.5,8.1,8.1
847,8.7,8,8
848,8.6,8.2,8
849,8.4,8.2,8.2
850,8.7,8.1,8.1
851,8.5,8.1,8.1
852,8.4,8.1,8.1
853,8.5,8.1,8.1
854,8.4,8.1,8.1
855,8.5,8,8
856,8.5,8,8
857,8.6,8,8
858,8.6,8,8
859,8.5,8,8
860,8.4,8,8
861,8.3,8,8
862,8.5,8,8
863,8.5,8,8
864,8.5,8,8
865,8.5,8,8
866,8.3,8,8
867,8.4,8,8
868,8.6,8,8
869,8.9,8.1,8.1
870,8.9,8.2,8.2
871,8.9,8.2,8.2
872,8.9,8.2,8.2
873,8.5,8.2,8.2
874,8.3,8.1,8.1
875,8.5,8.1,8.1
876,8.9,8.1,8.1
877,8.8,8.1,8.1
878,8.7,8,8
