,NH3-N2i,NH3-NO,NH3NMBR
946,231,4.2,1.1
947,247,4.3,1.2
948,256,4.2,1.3
949,185,3.7,1.2
950,200,3.3,1.1
951,210,3.6,1.2
952,222,5.1,2.6
953,255,4.4,2.2
954,237,3.8,1.8
955,241,3.9,1.7
956,256,5.2,2.8
957,212,5.8,2.5
958,241,4.5,1.5
959,210,4.4,1.5
960,220,5.6,2.4
961,238,4.9,1.8
962,195,4.7,1.7
963,167,4.8,1.8
964,180,4.6,1.7
965,158,4.2,1.5
966,180,3.8,1.3
967,175,4.2,1.7
968,198,3.5,0.6
969,206,3.3,0.8
970,230,3,0.9
971,240,3.2,1.2
972,203,3.7,1.4
973,222,3.2,1.8
974,248,3.3,1.9
975,260,6.2,3.9
976,255,5.5,3.2
977,270,5.8,3
978,246,4.6,2.4
979,303.8,3.9,1.9
980,287,6.7,3.9
981,266,6.1,5.5
982,302,5.9,5.7
983,280,5.6,3.4
984,270,5.2,3.2
985,316,5.8,3
986,305,4.2,1.9
987,312,3.8,1.2
988,263,3.4,1.2
989,274,3.6,2.9
990,250,4.5,2.5
991,260,4.4,2.2
992,251,3.8,1.2
993,238,3.4,1.3
994,186,3.1,1.1
995,210,3.2,1.3
996,183,3.3,1.4
997,170,3.2,1.6
998,194,3.1,1.6
999,184,2.6,1.2
1000,190,2.5,1.3
1001,215,2.8,1.5
1002,227,3.6,1.9
1003,234,3.5,1.4
1004,241,3.2,1.3
1005,268,3.9,2.4
1006,385,7.8,6
1007,375,8,4.7
1008,296.3,7.7,4.6
1009,287,8.2,4.9
1010,263,7.1,4.5
1011,278,7.2,4.3
1012,284,7.1,4.2
1013,271,6.8,2.3
1014,282,6.9,2.4
1015,275,7.1,2.6
1016,280,7.2,2.7
1017,263,6.7,3.1
1018,281,7,3.4
1019,295,6.9,3.2
1020,278,8.2,4.2
1021,276,4.5,2.1
1022,285,8.8,6.2
1023,270,7.7,5.9
1024,268,7.6,4.8
1025,281,7.2,4.6
1026,259,7.1,4.1
1027,272,7.2,4.2
1028,283,7.1,4.1
1029,106,4.9,2.7
1030,130,5.2,2.8
1031,141,5.7,2.9
1032,150,5.5,2.7
1033,176,5.4,3.1
1034,194,4.9,2.6
1035,278,4.5,2.3
1036,248,4.6,2.2
1037,214,5.5,2.5
1038,228,5.6,3.8
1039,210,5.6,3.8
1040,196,4.8,0.9
1041,225,5.3,1.4
1042,175,6.1,1.6
1043,200,5.9,1.5
1044,187,5.2,1.2
1045,186,4.2,1.3
1046,194,4.1,1.2
1047,190,3.6,1.1
1048,176,4.2,1.5
1049,206,4.5,1.8
1050,184,5.1,2.2
1051,195,5.2,1.9
1052,176,5.1,1.6
1053,189,4,1.7
1054,212,4.3,2.1
1055,200,4.5,1.5
1056,177,4.2,2
1057,182,4.6,2.2
1058,226,5.2,3.7
1059,247,5.1,3.5
1060,219,4.8,3.6
1061,201,4.5,3.3
1062,198,4.2,3.1
1063,148,3.6,0.5
1064,151,3.5,0.6
1065,217,4.2,1.5
1066,209,4.1,1.4
1067,210,4.2,1.3
1068,209,4.1,1.2
1069,199,3.9,1.2
1070,176,3.6,1.3
1071,210,3.7,1.1
1072,174,3.5,1.1
1073,193,3.8,1.4
1074,162,4.3,1.3
1075,174,4.2,1.2
1076,167,4.1,1.3
1077,159,3.6,1.3
1078,174,3.5,1.1
1079,165,3.2,0.8
1080,170,3.1,0.7
1081,189,3.3,0.8
1082,260,3.5,1.2
1083,205,3.7,0.6
1084,238,3.4,0.4
1085,284,3.6,0.2
1086,256,2.8,0.2
1087,252,2.7,0.2
1088,185,1.5,0.2
1089,236,1.7,0.2
1090,139,1.9,0.2
1091,154,1.8,0.2
1092,148,1.7,0.2
1093,164,1.5,0.2
1094,148,1.4,0.2
1095,141,1.6,0.2
1096,180,1.6,0.2
1097,157,1.6,0.2
1098,181,1.5,0.2
1099,171,1.4,0.2
1100,182,1.5,0.2
1101,194,1.6,0.2
1102,155,1.5,0.2
1103,165,1.6,0.2
1104,171,1.5,0.2
1105,180,1.5,0.2
1106,164,1.6,0.2
1107,159,1.5,0.3
1108,162,1.4,0.2
1109,193,1.1,0.2
1110,182,1.1,0.2
