Date,observed,seasonal,resid
2022/4/2,374,-1.459249179,8.119143829
2022/4/3,366,8.80427624,-10.63501122
2022/4/4,378,3.307258823,7.646520173
2022/4/5,389,-11.15708749,34.0397329
2022/4/6,331,5.171368895,-39.18600105
2022/4/7,315,-7.477637826,-41.0519582
2022/4/8,365,1.087578636,1.867643145
2022/4/9,356,-1.119059318,-3.473421557
2022/4/10,370,8.821595327,3.085499768
2022/4/11,361,3.945158366,2.406990133
2022/4/12,344,-9.565803576,2.502329599
2022/4/13,354,3.774524335,2.487412522
2022/4/14,339,-2.902010502,-2.512540027
2022/4/15,328,-4.956973638,-7.878935226
2022/4/16,385,0.988266695,46.80644352
2022/4/17,346,9.248682762,3.014052056
2022/4/18,334,-0.536094745,4.146163923
2022/4/19,317,-8.25780793,-1.844774716
2022/4/20,321,4.215894241,-7.105445074
2022/4/21,341,1.563605089,18.52188177
2022/4/22,366,-6.994485576,54.69517991
2022/4/23,313,5.82282553,-8.672023916
2022/4/24,320,8.072268583,-1.629974768
2022/4/25,298,-6.131301651,-7.55128688
2022/4/26,305,-9.554018662,4.186462094
2022/4/27,324,2.101692827,12.26872891
2022/4/28,303,5.244872391,-11.29159778
2022/4/29,298,-6.237487326,-4.067411
2022/4/30,338,11.8751263,18.5853491
2022/5/1,315,6.56947931,1.598116108
2022/5/2,295,-9.710896835,-1.270661604
2022/5/3,287,-10.48471578,-7.29556467
2022/5/4,301,-2.363721131,0.356920046
2022/5/5,317,5.049612295,11.15005623
2022/5/6,304,-3.260488726,8.698559018
2022/5/7,314,17.10374033,0.647800312
2022/5/8,287,8.915753302,-15.3764287
2022/5/9,278,-8.22255964,-3.906941414
2022/5/10,286,-13.36753106,12.94960915
2022/5/11,276,-11.83797285,5.290439578
2022/5/12,282,6.065122261,-2.590741971
2022/5/13,269,1.852611712,-6.957042231
2022/5/14,294,16.07308497,8.846641041
2022/5/15,285,11.06758114,10.19478484
2022/5/16,256,-1.991893893,-0.40883743
2022/5/17,232,-11.7267634,-9.686534847
2022/5/18,222,-23.86451579,-2.735799135
2022/5/19,246,8.573087203,-6.252214932
2022/5/20,249,-4.935262052,15.00268704
2022/5/21,235,11.67458288,-11.69419567
2022/5/22,248,12.13470552,3.95766607
2022/5/23,234,5.49479147,-0.793166175
2022/5/24,210,-10.19870484,-6.377716767
2022/5/25,267,-12.39400401,55.67191501
2022/5/26,235,10.22893015,3.818511778
2022/5/27,249,-13.70466519,44.29604717
2022/5/28,227,5.559528632,5.850105233
2022/5/29,215,8.111726706,-4.559594629
2022/5/30,163,7.567598496,-50.90803784
2022/5/31,204,-4.952657255,7.674131662
2022/6/1,152,-4.780999546,-39.76879719
2022/6/2,150,11.95543158,-53.71992774
2022/6/3,155,-22.58242981,-9.200260653
2022/6/4,178,2.559601263,-6.189420271
2022/6/5,185,0.303913014,8.418756525
2022/6/6,194,6.52995177,16.16225973
2022/6/7,163,1.494247864,-5.176410715
2022/6/8,166,7.47872807,-3.335404176
2022/6/9,172,11.62564566,3.201004104
2022/6/10,124,-26.34324382,-2.607623464
2022/6/11,150,1.349713501,-0.564014913
2022/6/12,126,-4.972520708,-15.01968188
2022/6/13,138,4.818113689,-9.971266658
2022/6/14,153,2.491117895,9.82924028
2022/6/15,159,10.31952196,10.08339664
2022/6/16,140,10.25135547,-7.361951644
2022/6/17,152,-19.46785148,35.27445796
2022/6/18,103,2.778115586,-35.30080236
2022/6/19,124,-7.743812047,-2.823988961
2022/6/20,128,1.0438486,-6.38222709
2022/6/21,135,1.297662681,0.990265639
2022/6/22,143,7.185471392,2.851938976
2022/6/23,145,8.160875778,3.596538859
2022/6/24,122,-12.39112052,1.194671966
2022/6/25,136,4.274704523,-1.272020338
2022/6/26,124,-5.787054484,-2.959341054
2022/6/27,145,0.325213513,12.05954485
2022/6/28,121,-0.89197181,-10.84468331
2022/6/29,130,2.089550198,-4.990732938
2022/6/30,141,6.505059591,1.43598402
2022/7/1,126,-5.126638757,-1.961151082
2022/7/2,143,2.926200245,7.034736186
2022/7/3,139,-4.075116495,9.859550247
2022/7/4,121,1.867547446,-14.48187828
2022/7/5,135,-3.177321509,3.913790696
2022/7/6,126,-2.003585285,-7.450001665
2022/7/7,134,6.990198692,-10.18932467
2022/7/8,141,-0.947570162,2.329193182
2022/7/9,125,1.413889623,-19.27375558
2022/7/10,143,-3.56592324,-0.15195076
2022/7/11,161,1.726578771,8.66260314
2022/7/12,150,-1.314435512,-2.753703884
2022/7/13,162,-4.062268139,9.58614714
2022/7/14,168,6.952852128,3.299387616
2022/7/15,171,-0.767704638,13.45833784
2022/7/16,163,-2.229132606,6.6442963
2022/7/17,145,-3.202146037,-10.31895427
2022/7/18,152,4.929911038,-11.18828672
2022/7/19,158,0.715827533,-0.759221576
2022/7/20,150,-4.520896754,-3.758247435
2022/7/21,178,5.581667951,13.27732811
2022/7/22,147,-0.868358879,-12.63258906
2022/7/23,158,-4.252305508,0.966575272
2022/7/24,166,-2.789852863,7.932237231
2022/7/25,175,6.66327001,8.847852739
2022/7/26,167,2.510572452,6.765236619
2022/7/27,188,-5.621033894,37.78042093
2022/7/28,149,4.326768906,-9.115139886
2022/7/29,151,-2.726238249,2.392241927
2022/7/30,132,-4.01005682,-12.69428512
2022/7/31,145,-0.835800383,-0.75795444
2022/8/1,157,5.607478839,5.764476188
2022/8/2,143,4.343339343,-6.922032688
2022/8/3,140,-5.677419628,0.019025814
2022/8/4,146,2.708916468,-2.441536741
2022/8/5,145,0.457817855,-1.197092842
2022/8/6,153,-5.410364823,13.19172069
2022/8/7,146,-0.317295424,2.236849179
2022/8/8,142,0.726241189,-0.525840259
2022/8/9,152,4.42933452,9.07208201
2022/8/10,161,-3.046009913,29.25786906
2022/8/11,136,6.716546378,-1.419342126
2022/8/12,196,-1.639200252,71.19602959
2022/8/13,117,-4.852693066,-0.478091519
2022/8/14,113,1.263145558,-6.567911638
2022/8/15,107,-8.484964326,0.450804499
2022/8/16,111,5.189820081,-7.404862816
2022/8/17,108,-0.537809941,-3.867001908
2022/8/18,125,11.02579694,1.389131937
2022/8/19,78,-0.888425326,-34.72514669
2022/8/20,103,-5.437151053,-6.644896934
2022/8/21,121,2.976513148,1.965301936
2022/8/22,139,-13.57960307,36.18416441
2022/8/23,126,6.261050236,3.515115458
2022/8/24,134,-0.663240086,19.32076561
2022/8/25,138,10.82330332,13.67465426
2022/8/26,107,-2.967133114,-0.891282374
2022/8/27,102,-3.977309469,-1.362888065
2022/8/28,111,4.474730412,2.901044897
2022/8/29,71,-15.5414144,-13.92544015
2022/8/30,93,9.514514415,-14.52891645
2022/8/31,87,-3.869680947,-5.698082737
2022/9/1,98,4.966773394,-3.228953811
2022/9/2,103,2.042727638,3.708819825
2022/9/3,95,-0.171835704,-4.61919608
2022/9/4,102,5.830604017,-7.248452265
2022/9/5,92,-12.40963868,-2.678853895
2022/9/6,131,11.78122133,9.102616285
2022/9/7,146,-6.733610723,40.12953985
2022/9/8,112,-5.099093861,2.965862764
2022/9/9,135,-1.503431798,21.78789804
2022/9/10,128,2.103328257,11.6228113
2022/9/11,119,6.56803068,-0.00034142
2022/9/12,126,-1.641846736,18.60359173
2022/9/13,118,15.18726075,-2.216957196
2022/9/14,89,-7.346278552,-4.790256271
2022/9/15,70,-13.84270794,-13.48629788
2022/9/16,81,-6.971233582,-5.94464008
2022/9/17,92,2.088431812,-1.199861341
2022/9/18,102,5.415749354,7.489972027
2022/9/19,94,4.871103463,1.088328726
2022/9/20,98,16.85223661,-6.700462197
2022/9/21,82,-4.583095457,-1.77010813
2022/9/22,71,-13.12440122,-5.358835803
2022/9/23,75,-6.753511059,-9.522229131
2022/9/24,89,-3.40513711,-1.454417426
2022/9/25,97,3.162978734,-3.568622323
