Date,CODMBR,rolling_median,raw_signed_dev
2022/10/19,95,4,6
2022/10/20,104,4,15
2022/10/21,108,4,19
2022/10/22,85,4,-4
2022/10/23,70,-4,-15
2022/10/24,47,-6,-36
2022/10/25,69,-6,-14
2022/10/26,102,-4,17
2022/10/27,97,-4,12
2022/10/28,69,-4,-16
2022/10/29,77,-4,-8
2022/10/30,83,-6,-6
2022/10/31,71,-3,-22
2022/11/1,103,-1,8
2022/11/2,97,0,2
2022/11/3,110,0,15
2022/11/4,116,0,21
2022/11/5,93,0,-3
2022/11/6,89,0,-7
2022/11/7,95,0,-1
2022/11/8,96,0,0
2022/11/9,95,0,0
2022/11/10,103,0,8
2022/11/11,98,0,5
2022/11/12,106,-1,15
2022/11/13,91,0,0
2022/11/14,77,0,-16
2022/11/15,86,0,-5
2022/11/16,82,0,-9
2022/11/17,83,0,-8
2022/11/18,91,0,0
2022/11/19,86,-3,-5
2022/11/20,93,-3,2
2022/11/21,101,-3,10
2022/11/22,89,-3,-3
2022/11/23,92,-3,0
2022/11/24,107,-3,14
2022/11/25,92,0,-3
2022/11/26,95,0,-3
2022/11/27,89,0,-12
2022/11/28,106,0,5
2022/11/29,101,0,-5
2022/11/30,98,0,-9
2022/12/1,121,0,0
2022/12/2,124,-3,3
2022/12/3,130,0,6
2022/12/4,121,0,-3
2022/12/5,125,0,0
2022/12/6,132,0,5
2022/12/7,127,3,-3
2022/12/8,132,5,0
2022/12/9,124,5,-8
2022/12/10,147,5,15
2022/12/11,173,0,41
2022/12/12,154,0,22
2022/12/13,163,0,31
2022/12/14,156,0,21
2022/12/15,147,1,12
2022/12/16,135,11,-7
2022/12/17,125,11,-17
2022/12/18,131,3,-4
2022/12/19,126,1,-9
2022/12/20,122,-4,-10
2022/12/21,145,-4,13
2022/12/22,132,-7,1
2022/12/23,142,-7,11
2022/12/24,123,-4,-8
2022/12/25,135,-4,3
2022/12/26,123,0,-12
2022/12/27,128,1,-10
2022/12/28,138,2,-4
2022/12/29,125,2,-17
2022/12/30,163,2,0
2022/12/31,170,0,7
2023/1/1,176,0,13
2023/1/2,185,-2,22
2023/1/3,199,-2,36
2023/1/4,167,0,2
2023/1/5,181,2,14
2023/1/6,165,7,-2
2023/1/7,157,7,-10
2023/1/8,160,2,-5
2023/1/9,153,2,-9
2023/1/10,148,2,-12
2023/1/11,167,0,10
2023/1/12,174,0,21
2023/1/13,162,-2,14
2023/1/14,121,0,-19
2023/1/15,135,0,0
2023/1/16,140,0,9
2023/1/17,131,0,6
2023/1/18,115,0,-10
2023/1/19,125,0,0
2023/1/20,112,0,-9
2023/1/21,121,-1,0
2023/1/22,109,-1,-12
2023/1/23,113,-1,-8
2023/1/24,125,-1,4
2023/1/25,115,-1,-6
2023/1/26,137,0,16
2023/1/27,120,0,-1
2023/1/28,121,0,-4
2023/1/29,108,0,-19
2023/1/30,136,0,9
2023/1/31,127,0,0
2023/2/1,144,0,17
2023/2/2,134,0,7
2023/2/3,128,0,1
2023/2/4,135,1,8
